stimuliId,partID,condition,obj,count_per_obj_per_part
24,3,restrictive,card,0
47,3,non-restrictive,bow,0
47,3,non-restrictive,gum,0
47,3,non-restrictive,stand,0
47,3,non-restrictive,violin,0
30,3,restrictive,eraser,0
30,3,restrictive,tissue,0
30,3,restrictive,newspaper,0
30,3,restrictive,comb,0
39,3,non-restrictive,mop,0
39,3,non-restrictive,broom,0
39,3,non-restrictive,cloth,0
39,3,non-restrictive,apron,0
4,3,restrictive,baby,0
4,3,restrictive,plant,0
4,3,restrictive,stool,0
4,3,restrictive,rocking-horse,0
29,3,non-restrictive,sock,0
29,3,non-restrictive,milk,0
29,3,non-restrictive,glove,0
29,3,non-restrictive,nut,0
2,3,restrictive,chair,0
2,3,restrictive,lipstick,0
2,3,restrictive,wine,0
2,3,restrictive,cheese,0
17,3,non-restrictive,ribbon,0
17,3,non-restrictive,dress,0
17,3,non-restrictive,lantern,0
17,3,non-restrictive,backpack,0
6,3,restrictive,cactus,0
6,3,restrictive,moon,0
6,3,restrictive,mountain,0
6,3,restrictive,animal,0
14,3,restrictive,briefcase,0
14,3,restrictive,glasses,0
14,3,restrictive,cigarettes,0
14,3,restrictive,filofax,0
28,3,restrictive,lamp,0
28,3,restrictive,switch,0
28,3,restrictive,frame,0
28,3,restrictive,picture,0
19,3,non-restrictive,stick,0
19,3,non-restrictive,feather,0
19,3,non-restrictive,leaf,0
19,3,non-restrictive,football,0
38,3,restrictive,marker,0
38,3,restrictive,key,0
38,3,restrictive,banana,0
38,3,restrictive,mitten,18
40,3,restrictive,shoelace,0
40,3,restrictive,shampoo,88
40,3,restrictive,mat,0
40,3,restrictive,buckle,0
23,3,non-restrictive,hook,0
23,3,non-restrictive,poster,0
23,3,non-restrictive,towel,1
23,3,non-restrictive,coat,0
22,4,non-restrictive,magazine,0
22,4,non-restrictive,vase,0
22,4,non-restrictive,cushion,0
22,4,non-restrictive,flower,0
1,4,restrictive,toy-train,0
1,4,restrictive,ball,0
1,4,restrictive,cake,19
1,4,restrictive,toy-car,33
10,4,non-restrictive,door,24
10,4,non-restrictive,cup,0
10,4,non-restrictive,bag,17
10,4,non-restrictive,book,0
34,4,non-restrictive,envelope,0
34,4,non-restrictive,box,0
34,4,non-restrictive,gift,68
34,4,non-restrictive,suitcase,1
26,4,non-restrictive,keyboard,0
26,4,non-restrictive,peach,0
26,4,non-restrictive,rope,0
26,4,non-restrictive,canvas,9
5,4,restrictive,acorns,0
5,4,restrictive,shuttle-cock,0
5,4,restrictive,ball,3
5,4,restrictive,paper-plane,0
6,4,non-restrictive,animal,0
6,4,non-restrictive,cactus,0
6,4,non-restrictive,moon,43
6,4,non-restrictive,mountain,0
40,4,non-restrictive,buckle,0
40,4,non-restrictive,shoelace,0
40,4,non-restrictive,shampoo,0
40,4,non-restrictive,mat,0
44,4,non-restrictive,handle,0
44,4,non-restrictive,safe,0
44,4,non-restrictive,pan,59
44,4,non-restrictive,bolt,0
27,4,restrictive,candle,0
27,4,restrictive,package,0
27,4,restrictive,coin,0
27,4,restrictive,coaster,0
35,4,restrictive,radio,28
35,4,restrictive,puzzle,0
35,4,restrictive,notebook,0
35,4,restrictive,pillow,0
24,4,non-restrictive,card,0
24,4,non-restrictive,scarf,0
24,4,non-restrictive,pencil,0
24,4,non-restrictive,needle,0
21,4,restrictive,crayon,0
21,4,restrictive,cup,0
21,4,restrictive,kitten,0
21,4,restrictive,block,0
38,4,non-restrictive,mitten,0
38,4,non-restrictive,marker,0
38,4,non-restrictive,key,0
38,4,non-restrictive,banana,0
20,4,non-restrictive,bowl,0
20,4,non-restrictive,bread,0
20,4,non-restrictive,spoon,0
20,4,non-restrictive,spatula,0
8,4,non-restrictive,microscope,0
8,4,non-restrictive,child,0
8,4,non-restrictive,tv-monitor,0
8,4,non-restrictive,toy-bear,0
29,4,restrictive,nut,0
29,4,restrictive,sock,0
29,4,restrictive,milk,0
29,4,restrictive,glove,0
36,4,non-restrictive,pot,0
36,4,non-restrictive,mascara,0
36,4,non-restrictive,brush,0
36,4,non-restrictive,mirror,0
28,4,non-restrictive,picture,0
28,4,non-restrictive,lamp,0
28,4,non-restrictive,switch,0
28,4,non-restrictive,frame,0
47,4,restrictive,violin,0
47,4,restrictive,bow,0
47,4,restrictive,gum,0
47,4,restrictive,stand,0
33,4,restrictive,biscuit,0
33,4,restrictive,kettle,0
33,4,restrictive,beer,0
33,4,restrictive,mug,59
37,4,restrictive,boxes,0
37,4,restrictive,clips,0
37,4,restrictive,lego,55
37,4,restrictive,papers,0
23,4,restrictive,coat,0
23,4,restrictive,hook,0
23,4,restrictive,poster,0
23,4,restrictive,towel,0
11,4,restrictive,washing-machine,0
11,4,restrictive,mirror,10
11,4,restrictive,dog,36
11,4,restrictive,wastebin,89
41,4,restrictive,toothbrish,0
41,4,restrictive,iron,0
41,4,restrictive,blouse,0
41,4,restrictive,pin,8
49,4,restrictive,flag,0
49,4,restrictive,pouch,0
49,4,restrictive,balloon,0
49,4,restrictive,pump,0
16,4,non-restrictive,folder,85
16,4,non-restrictive,hat,0
16,4,non-restrictive,wallet,0
16,4,non-restrictive,magnifying-glass,0
45,4,restrictive,ladle,0
45,4,restrictive,hammer,0
45,4,restrictive,dough,0
45,4,restrictive,glass,0
9,4,restrictive,telephone,0
9,4,restrictive,television,0
9,4,restrictive,piano,0
9,4,restrictive,table,0
25,4,restrictive,potato,0
25,4,restrictive,glass,0
25,4,restrictive,rabbit,0
25,4,restrictive,plate,0
32,4,non-restrictive,seed,0
32,4,non-restrictive,bottle,0
32,4,non-restrictive,lemon,10
32,4,non-restrictive,sponge,0
4,4,non-restrictive,rocking-horse,0
4,4,non-restrictive,baby,0
4,4,non-restrictive,plant,0
4,4,non-restrictive,stool,0
30,4,non-restrictive,comb,0
30,4,non-restrictive,eraser,0
30,4,non-restrictive,tissue,15
30,4,non-restrictive,newspaper,0
2,4,non-restrictive,cheese,0
2,4,non-restrictive,chair,0
2,4,non-restrictive,lipstick,0
2,4,non-restrictive,wine,0
39,4,restrictive,apron,0
39,4,restrictive,mop,0
39,4,restrictive,broom,0
39,4,restrictive,cloth,0
18,4,non-restrictive,bucket,0
18,4,non-restrictive,stone,0
18,4,non-restrictive,rope,0
18,4,non-restrictive,wood,0
12,4,non-restrictive,bricks,0
12,4,non-restrictive,bell,0
12,4,non-restrictive,drum,0
12,4,non-restrictive,duck,0
17,4,restrictive,backpack,0
17,4,restrictive,ribbon,0
17,4,restrictive,dress,9
17,4,restrictive,lantern,0
46,4,non-restrictive,laddle,0
46,4,non-restrictive,peeler,0
46,4,non-restrictive,pot,0
46,4,non-restrictive,carrot,0
15,4,restrictive,dog,0
15,4,restrictive,bird,0
15,4,restrictive,ball,0
15,4,restrictive,hen,0
7,4,restrictive,mushrooms,0
7,4,restrictive,knife,0
7,4,restrictive,weighing-scales,6
7,4,restrictive,jug,0
31,4,restrictive,dice,0
31,4,restrictive,cap,0
31,4,restrictive,watch,0
31,4,restrictive,headphones,0
50,4,non-restrictive,envelope,0
50,4,non-restrictive,rubberband,0
50,4,non-restrictive,scissors,0
50,4,non-restrictive,stamp,0
19,4,restrictive,football,0
19,4,restrictive,stick,0
19,4,restrictive,feather,0
19,4,restrictive,leaf,0
13,4,restrictive,sun,0
13,4,restrictive,car,0
13,4,restrictive,boat,0
13,4,restrictive,birds,0
43,4,restrictive,shirt,0
43,4,restrictive,apple,0
43,4,restrictive,chalk,0
43,4,restrictive,ruler,0
3,4,restrictive,man,0
3,4,restrictive,car,0
3,4,restrictive,houses,0
3,4,restrictive,dustbin,1
42,4,non-restrictive,stone,0
42,4,non-restrictive,cone,0
42,4,non-restrictive,shell,0
42,4,non-restrictive,orange,0
48,4,non-restrictive,footstool,0
48,4,non-restrictive,carpet,0
48,4,non-restrictive,dustpan,0
48,4,non-restrictive,roller,0
14,4,non-restrictive,filofax,0
14,4,non-restrictive,briefcase,0
14,4,non-restrictive,glasses,0
14,4,non-restrictive,cigarettes,0
22,5,restrictive,magazine,0
22,5,restrictive,vase,66
22,5,restrictive,cushion,24
22,5,restrictive,flower,0
15,5,non-restrictive,dog,0
15,5,non-restrictive,bird,13
15,5,non-restrictive,ball,59
15,5,non-restrictive,hen,0
18,5,restrictive,bucket,0
18,5,restrictive,stone,35
18,5,restrictive,rope,52
18,5,restrictive,wood,0
43,5,non-restrictive,shirt,6
43,5,non-restrictive,apple,22
43,5,non-restrictive,chalk,26
43,5,non-restrictive,ruler,0
8,5,restrictive,microscope,36
8,5,restrictive,child,21
8,5,restrictive,tv-monitor,0
8,5,restrictive,toy-bear,0
24,5,restrictive,card,0
24,5,restrictive,scarf,0
24,5,restrictive,pencil,0
24,5,restrictive,needle,0
49,5,non-restrictive,flag,0
49,5,non-restrictive,pouch,0
49,5,non-restrictive,balloon,4
49,5,non-restrictive,pump,29
21,5,non-restrictive,crayon,0
21,5,non-restrictive,cup,0
21,5,non-restrictive,kitten,0
