item	condition	subject_id	chosen_object	first_saccade_landing_aoi
49	restrictive	subject-20		
48	non-restrictive	subject-20		
30	non-restrictive	subject-20		
46	non-restrictive	subject-20		
31	restrictive	subject-20		
20	non-restrictive	subject-20		
34	non-restrictive	subject-20		
9	restrictive	subject-20		
16	non-restrictive	subject-20	folder	pos1
3	restrictive	subject-20		subject
45	restrictive	subject-20		
18	non-restrictive	subject-20		subject
28	non-restrictive	subject-20		
33	restrictive	subject-20		
38	non-restrictive	subject-20		
25	restrictive	subject-20		
21	restrictive	subject-20		
40	non-restrictive	subject-20		
8	non-restrictive	subject-20		
14	non-restrictive	subject-20		
15	restrictive	subject-20		
39	restrictive	subject-20		
36	non-restrictive	subject-20		
17	restrictive	subject-20		
3	non-restrictive	subject-21		subject
2	restrictive	subject-21		
47	non-restrictive	subject-21		
37	non-restrictive	subject-21		
30	restrictive	subject-21		
12	restrictive	subject-21		
17	non-restrictive	subject-21		
31	non-restrictive	subject-21		
1	non-restrictive	subject-21		
22	restrictive	subject-21		elsewhere
11	non-restrictive	subject-21		subject
50	restrictive	subject-21		
5	non-restrictive	subject-21		
19	non-restrictive	subject-21		subject
4	restrictive	subject-21		
40	restrictive	subject-21		
7	non-restrictive	subject-21		
20	restrictive	subject-21		
42	restrictive	subject-21		
41	non-restrictive	subject-21		
14	restrictive	subject-21		
34	restrictive	subject-21		
38	restrictive	subject-21		
24	restrictive	subject-21		subject
29	non-restrictive	subject-21		elsewhere
44	restrictive	subject-21	pan	pos3
21	non-restrictive	subject-21		subject
28	restrictive	subject-21		
10	restrictive	subject-21		
16	restrictive	subject-21		
25	non-restrictive	subject-21		
15	non-restrictive	subject-21		
27	non-restrictive	subject-21		
39	non-restrictive	subject-21		
43	non-restrictive	subject-21		subject
26	restrictive	subject-21		
23	non-restrictive	subject-21	hook	pos2
32	restrictive	subject-21		subject
8	restrictive	subject-21	microscope	pos1
18	restrictive	subject-21		elsewhere
9	non-restrictive	subject-21		
46	restrictive	subject-21		
35	non-restrictive	subject-21		subject
45	non-restrictive	subject-21		elsewhere
48	restrictive	subject-21		subject
49	non-restrictive	subject-21	pouch	pos2
6	restrictive	subject-21	moon	pos3
36	restrictive	subject-21		
33	non-restrictive	subject-21		subject
13	non-restrictive	subject-21		
3	non-restrictive	subject-21		subject
2	restrictive	subject-21		
47	non-restrictive	subject-21		
37	non-restrictive	subject-21		
30	restrictive	subject-21		
12	restrictive	subject-21		
17	non-restrictive	subject-21		
31	non-restrictive	subject-21		
1	non-restrictive	subject-21		
22	restrictive	subject-21		elsewhere
11	non-restrictive	subject-21		subject
50	restrictive	subject-21		
5	non-restrictive	subject-21		
19	non-restrictive	subject-21		subject
4	restrictive	subject-21		
40	restrictive	subject-21		
7	non-restrictive	subject-21		
20	restrictive	subject-21		
42	restrictive	subject-21		
41	non-restrictive	subject-21		
14	restrictive	subject-21		
34	restrictive	subject-21		
38	restrictive	subject-21		
24	restrictive	subject-21		subject
29	non-restrictive	subject-21		elsewhere
44	restrictive	subject-21	pan	pos3
21	non-restrictive	subject-21		subject
28	restrictive	subject-21		
10	restrictive	subject-21		
16	restrictive	subject-21		
25	non-restrictive	subject-21		
15	non-restrictive	subject-21		
27	non-restrictive	subject-21		
39	non-restrictive	subject-21		
43	non-restrictive	subject-21		subject
26	restrictive	subject-21		
23	non-restrictive	subject-21	hook	pos2
32	restrictive	subject-21		subject
8	restrictive	subject-21	microscope	pos1
18	restrictive	subject-21		elsewhere
9	non-restrictive	subject-21		
