subject_nr,trial,condition,sentence_id,word_index,WordRole,word,start_s,end_s,window_ms,prop_pos1,prop_pos2,prop_pos3,prop_pos4,prop_target,prop_subject,no_object_gaze,n_samples
1,25,restrictive,17,2,aux,will,0.609,0.735,126.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1
1,25,restrictive,17,3,ROOT,chop,0.819,1.092,273.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
1,25,restrictive,17,4,det,the,1.218,1.281,63.0,0.0,1.0,0.0,0.0,1.0,0.0,False,10
1,25,restrictive,17,5,dobj,wood,1.407,2.541,1134.0,0.0,1.0,0.0,0.0,1.0,0.0,False,65
1,26,restrictive,43,0,det,The,0.021,0.063,42.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
1,26,restrictive,43,1,nsubj,man,0.168,0.462,294.0,0.0,1.0,0.0,0.0,0.0,0.0,False,43
1,26,restrictive,43,2,aux,will,0.588,0.714,126.0,0.0,0.0,0.0,0.0,0.0,0.0,True,10
1,26,restrictive,43,3,ROOT,lock,0.819,1.092,273.0,0.0,1.0,0.0,0.0,0.0,0.0,False,41
1,26,restrictive,43,4,det,the,1.197,1.26,63.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2
1,26,restrictive,43,5,dobj,safe,1.407,2.583,1176.0,0.0,0.039216,0.960784,0.0,0.0,0.019231,False,161
1,27,restrictive,33,0,det,The,0.021,0.063,42.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
1,27,restrictive,33,1,nsubj,boy,0.147,0.42,273.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
1,27,restrictive,33,2,aux,will,0.546,0.693,147.0,0.0,1.0,0.0,0.0,1.0,0.0,False,22
1,27,restrictive,33,3,ROOT,unzip,0.861,1.302,441.0,0.0,1.0,0.0,0.0,1.0,0.0,False,66
1,27,restrictive,33,4,det,the,1.449,1.512,63.0,0.0,1.0,0.0,0.0,1.0,0.0,False,9
1,27,restrictive,33,5,dobj,suitcase,1.68,3.192,1512.0,0.0,0.0,0.0,0.0,0.0,1.0,True,137
1,28,non-restrictive,12,0,det,The,0.021,0.084,63.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
1,28,non-restrictive,12,1,nsubj,man,0.168,0.462,294.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1
1,28,non-restrictive,12,2,aux,will,0.588,0.714,126.0,0.0,0.0,0.0,0.0,0.0,0.0,True,9
1,28,non-restrictive,12,3,ROOT,watch,0.819,1.155,336.0,0.0,1.0,0.0,0.0,0.0,0.0,False,11
1,28,non-restrictive,12,4,det,the,1.26,1.323,63.0,0.0,0.0,0.0,0.0,0.0,0.0,True,7
1,28,non-restrictive,12,5,dobj,boat,1.428,2.562,1134.0,0.0,1.0,0.0,0.0,0.0,0.0,False,73
1,29,restrictive,5,0,det,The,0.021,0.063,42.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
1,29,restrictive,5,1,nsubj,hiker,0.147,0.567,420.0,0.0,0.0,0.0,0.0,0.0,0.0,True,37
1,29,restrictive,5,2,aux,will,0.714,0.84,126.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
1,29,restrictive,5,3,ROOT,climb,0.924,1.26,336.0,0.0,1.0,0.0,0.0,1.0,0.0,False,19
1,29,restrictive,5,4,det,the,1.344,1.407,63.0,0.0,1.0,0.0,0.0,1.0,0.0,False,10
1,29,restrictive,5,5,dobj,mountain,1.533,2.877,1344.0,0.0,1.0,0.0,0.0,1.0,0.0,False,122
1,30,non-restrictive,14,0,det,The,0.021,0.063,42.0,0.0,0.0,0.0,0.0,0.0,0.0,True,6
1,30,non-restrictive,14,1,nsubj,boy,0.147,0.378,231.0,0.0,1.0,0.0,0.0,0.0,0.0,False,28
1,30,non-restrictive,14,2,aux,will,0.504,0.63,126.0,0.0,0.0,0.0,0.0,0.0,0.0,True,7
1,30,non-restrictive,14,3,ROOT,feed,0.735,0.987,252.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
1,30,non-restrictive,14,4,det,the,1.071,1.134,63.0,0.0,0.0,0.0,0.0,0.0,0.0,True,6
1,30,non-restrictive,14,5,dobj,dog,1.239,2.583,1344.0,0.0,0.275862,0.655172,0.068966,0.655172,0.0,False,164
1,31,restrictive,47,0,det,The,0.021,0.063,42.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
1,31,restrictive,47,1,nsubj,girl,0.168,0.504,336.0,0.0,1.0,0.0,0.0,0.0,0.0,False,16
1,31,restrictive,47,2,aux,will,0.672,0.819,147.0,0.0,0.0,0.0,0.0,0.0,0.0,True,18
1,31,restrictive,47,3,ROOT,vacuum,0.924,1.47,546.0,0.0,0.0,0.0,0.0,0.0,0.0,True,14
1,31,restrictive,47,4,det,the,1.554,1.617,63.0,0.0,0.0,0.0,0.0,0.0,0.0,True,10
1,31,restrictive,47,5,dobj,carpet,1.722,3.108,1386.0,0.0,0.0,1.0,0.0,0.0,0.0,False,118
1,32,non-restrictive,26,0,det,The,0.021,0.063,42.0,0.0,0.0,0.0,0.0,0.0,1.0,True,6
1,32,non-restrictive,26,1,nsubj,woman,0.189,0.504,315.0,0.0,1.0,0.0,0.0,0.0,0.333333,False,27
1,32,non-restrictive,26,2,aux,will,0.693,0.819,126.0,0.0,0.0,0.0,0.0,0.0,0.0,True,8
1,32,non-restrictive,26,3,ROOT,grab,0.903,1.281,378.0,0.0,1.0,0.0,0.0,0.0,0.0,False,43
1,32,non-restrictive,26,4,det,the,1.386,1.449,63.0,0.0,0.0,0.0,0.0,0.0,0.0,True,10
1,32,non-restrictive,26,5,dobj,candle,1.533,2.898,1365.0,0.0,0.083333,0.861111,0.055556,0.861111,0.0,False,173
1,33,non-restrictive,32,0,det,The,0.021,0.063,42.0,0.0,0.0,0.0,0.0,0.0,0.0,True,6
